const	BattleTowerPokemonData	BTPD100[]={
		{WAZANO_AMAGOI,WAZANO_YADORIGINOTANE,WAZANO_GIGADOREIN,WAZANO_DAIBINGU,},
		0x21,17,0,
	},
	{
		MONSNO_KUROBATTO,
		32,0x48,
		{WAZANO_HEDOROBAKUDAN,WAZANO_AYASIIHIKARI,WAZANO_SYADOOBOORU,WAZANO_YOKODORI,},
		0x0a,0,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x5d,
		{WAZANO_KUROSUTYOPPU,WAZANO_DAIMONZI,WAZANO_KETAGURI,WAZANO_GANSEKIHUUZI,},
		0x0a,0,0,
	},
	{
		MONSNO_RAIBORUTO,
		41,0x08,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_MEROMERO,WAZANO_KAMIKUDAKU,},
		0x1a,17,0,
	},
	{
		MONSNO_MARUMAIN,
		52,0x60,
		{WAZANO_KAMINARI,WAZANO_SUPIIDOSUTAA,WAZANO_MIRAAKOOTO,WAZANO_DAIBAKUHATU,},
		0x0c,18,0,
	},
	{
		MONSNO_BETOBETON,
		48,0x64,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KAENHOUSYA,WAZANO_10MANBORUTO,WAZANO_SYADOOPANTI,},
		0x15,21,0,
	},
	{
		MONSNO_HURAIGON,
		54,0x0c,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_DAIMONZI,WAZANO_SUNAARASI,},
		0x3d,10,0,
	},
	{
		MONSNO_SUTAAMII,
		60,0x4c,
		{WAZANO_NAMINORI,WAZANO_10MANBORUTO,WAZANO_REITOUBIIMU,WAZANO_SAIKOKINESISU,},
		0x39,17,0,
	},
	{
		MONSNO_RUNPAPPA,
		25,0x4a,
		{WAZANO_YADORIGINOTANE,WAZANO_MEROMERO,WAZANO_KAGEBUNSIN,WAZANO_MAMORU,},
		0x21,17,0,
	},
	{
		MONSNO_EAAMUDO,
		25,0x4b,
		{WAZANO_DORIRUKUTIBASI,WAZANO_HAGANENOTUBASA,WAZANO_MEROMERO,WAZANO_OIUTI,},
		0x28,22,0,
	},
	{
		MONSNO_GORUDAKKU,
		34,0x49,
		{WAZANO_NAMINORI,WAZANO_SAIKOKINESISU,WAZANO_REITOUBIIMU,WAZANO_KUROSUTYOPPU,},
		0x35,13,0,
	},
	{
		MONSNO_HERAKUROSU,
		24,0x5d,
		{WAZANO_MEGAHOON,WAZANO_ZISIN,WAZANO_KIAIPANTI,WAZANO_GANSEKIHUUZI,},
		0x27,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		33,0x26,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZIWARE,WAZANO_ZETTAIREIDO,},
		0x25,0,0,
	},
	{
		MONSNO_KINGUDORA,
		48,0x5c,
		{WAZANO_NAMINORI,WAZANO_HUBUKI,WAZANO_HAKAIKOUSEN,WAZANO_ZITABATA,},
		0x18,2,0,
	},
	{
		MONSNO_BOOMANDA,
		60,0x1d,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_DAIMONZI,WAZANO_HAIDOROPONPU,},
		0x18,4,0,
	},
	{
		MONSNO_METAGUROSU,
		52,0x3d,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_HAKAIKOUSEN,},
		0x30,0,0,
	},
	{
		MONSNO_REZIROKKU,
		48,0x3c,
		{WAZANO_ZISIN,WAZANO_10MANBORUTO,WAZANO_BAKADIKARA,WAZANO_DAIBAKUHATU,},
		0x22,21,0,
	},
	{
		MONSNO_REZIAISU,
		54,0x3c,
		{WAZANO_REITOUBIIMU,WAZANO_10MANBORUTO,WAZANO_GENSINOTIKARA,WAZANO_DAIBAKUHATU,},
		0x16,23,0,
	},
	{
		MONSNO_REZISUTIRU,
		25,0x3c,
		{WAZANO_METARUKUROO,WAZANO_10MANBORUTO,WAZANO_HAKAIKOUSEN,WAZANO_DAIBAKUHATU,},
		0x03,21,0,
	},
	{
		MONSNO_RATHIASU,
		50,0x1e,
		{WAZANO_MISUTOBOORU,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_REITOUBIIMU,},
		0x1a,17,0,
	},
	{
		MONSNO_RATHIOSU,
		62,0x1d,
		{WAZANO_RASUTAAPAAZI,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_REITOUBIIMU,},
		0x1a,17,0,
	},
	{
		MONSNO_MIROKAROSU,
		50,0x1a,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_MEROMERO,},
		0x35,2,0,
	},
	{
		MONSNO_TIRUTARISU,
		62,0x0a,
		{WAZANO_DORAGONKUROO,WAZANO_REITOUBIIMU,WAZANO_UTAU,WAZANO_KAENHOUSYA,},
		0x1c,17,0,
	},
	{
		MONSNO_ZYUKAIN,
		32,0x9c,
		{WAZANO_RIIHUBUREEDO,WAZANO_MIKIRI,WAZANO_DORAGONKUROO,WAZANO_KAMIKUDAKU,},
		0x18,0,0,
	},
	{
		MONSNO_BASYAAMO,
		48,0x9c,
		{WAZANO_BUREIZUKIKKU,WAZANO_SUKAIAPPAA,WAZANO_ZISIN,WAZANO_IWANADARE,},
		0x12,6,0,
	},
	{
		MONSNO_RAGURAAZI,
		60,0x9c,
		{WAZANO_NAMINORI,WAZANO_ZISIN,WAZANO_REITOUBIIMU,WAZANO_GANSEKIHUUZI,},
		0x11,0,0,
	},
	{
		MONSNO_NUKENIN,
		32,0x20,
		{WAZANO_AYASIIHIKARI,WAZANO_SYADOOBOORU,WAZANO_DOKUDOKU,WAZANO_ONNEN,},
		0x0a,0,0,
	},
	{
		MONSNO_METAGUROSU,
		25,0x1d,
		{WAZANO_KOMETTOPANTI,WAZANO_ZISIN,WAZANO_KAGEBUNSIN,WAZANO_MAMORU,},
		0x25,14,0,
	},
	{
		MONSNO_HUUDHIN,
		25,0x58,
		{WAZANO_SAIKOKINESISU,WAZANO_KAMINARIPANTI,WAZANO_REITOUPANTI,WAZANO_HONOONOPANTI,},
		0x18,11,0,
	},
	{
		MONSNO_RATHIASU,
		25,0x1e,
		{WAZANO_MISUTOBOORU,WAZANO_10MANBORUTO,WAZANO_REITOUBIIMU,WAZANO_DORAGONKUROO,},
		0x18,17,0,
	},
	{
		MONSNO_RATHIOSU,
		47,0x1d,
		{WAZANO_RASUTAAPAAZI,WAZANO_10MANBORUTO,WAZANO_REITOUBIIMU,WAZANO_DORAGONKUROO,},
		0x18,0,0,
	},
	{
		MONSNO_BOOMANDA,
		47,0x1d,
		{WAZANO_DORAGONKUROO,WAZANO_KAENHOUSYA,WAZANO_ZISIN,WAZANO_TUBAMEGAESI,},
		0x34,7,0,
	},
	{
		MONSNO_KAIRIKII,
		52,0x5d,
		{WAZANO_KUROSUTYOPPU,WAZANO_ZISIN,WAZANO_KETAGURI,WAZANO_IWANADARE,},
		0x0a,0,0,
	},
};
