const	BattleTowerPokemonData	BTPD50[]={
		{WAZANO_AMAGOI,WAZANO_MAMORU,WAZANO_DOKUDOKU,WAZANO_NAMINORI,},
		0x21,17,0,
	},
	{
		MONSNO_KUROBATTO,
		32,0x4b,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KAMITUKU,WAZANO_EAKATTAA,WAZANO_SYADOOBOORU,},
		0x18,2,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x75,
		{WAZANO_KUROSUTYOPPU,WAZANO_IWANADARE,WAZANO_BAKURETUPANTI,WAZANO_GANSEKIHUUZI,},
		0x03,0,0,
	},
	{
		MONSNO_RAIBORUTO,
		60,0x0a,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_MEROMERO,WAZANO_KAMIKUDAKU,},
		0x11,17,0,
	},
	{
		MONSNO_MARUMAIN,
		52,0x64,
		{WAZANO_KAMINARI,WAZANO_KAGEBUNSIN,WAZANO_MIRAAKOOTO,WAZANO_DAIBAKUHATU,},
		0x09,18,0,
	},
	{
		MONSNO_BETOBETON,
		48,0x49,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KAENHOUSYA,WAZANO_10MANBORUTO,WAZANO_SYADOOPANTI,},
		0x03,21,0,
	},
	{
		MONSNO_HURAIGON,
		32,0xcd,
		{WAZANO_MAMORU,WAZANO_ANAWOHORU,WAZANO_DOKUDOKU,WAZANO_SUNAARASI,},
		0x25,9,0,
	},
	{
		MONSNO_SUTAAMII,
		1,0x5b,
		{WAZANO_NAMINORI,WAZANO_10MANBORUTO,WAZANO_HUBUKI,WAZANO_SAIKOKINESISU,},
		0x18,2,0,
	},
	{
		MONSNO_RUNPAPPA,
		25,0x1a,
		{WAZANO_AMAGOI,WAZANO_YADORIGINOTANE,WAZANO_DAIBINGU,WAZANO_MAMORU,},
		0x28,2,0,
	},
	{
		MONSNO_RAITYUU,
		52,0x4a,
		{WAZANO_KAMINARI,WAZANO_KISIKAISEI,WAZANO_KARAGENKI,WAZANO_AIANTEERU,},
		0x0e,10,0,
	},
	{
		MONSNO_GORUDAKKU,
		48,0x0a,
		{WAZANO_NAMINORI,WAZANO_SAIKOKINESISU,WAZANO_REITOUBIIMU,WAZANO_AIANTEERU,},
		0x18,6,0,
	},
	{
		MONSNO_HERAKUROSU,
		52,0x15,
		{WAZANO_MEGAHOON,WAZANO_ZISIN,WAZANO_KARAGENKI,WAZANO_GANSEKIHUUZI,},
		0x27,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		33,0x26,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZIWARE,WAZANO_ZETTAIREIDO,},
		0x11,0,0,
	},
	{
		MONSNO_KINGUDORA,
		47,0x4d,
		{WAZANO_HAIDOROPONPU,WAZANO_HUBUKI,WAZANO_HAKAIKOUSEN,WAZANO_KANASIBARI,},
		0x31,17,0,
	},
	{
		MONSNO_BOOMANDA,
		60,0x9c,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_DAIMONZI,WAZANO_HAIDOROPONPU,},
		0x18,4,0,
	},
	{
		MONSNO_METAGUROSU,
		52,0xb5,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_OIUTI,WAZANO_GANSEKIHUUZI,},
		0x28,2,0,
	},
	{
		MONSNO_REZIROKKU,
		50,0x95,
		{WAZANO_ZISIN,WAZANO_DOKUDOKU,WAZANO_BAKADIKARA,WAZANO_NEMURU,},
		0x09,12,0,
	},
	{
		MONSNO_REZIAISU,
		54,0x96,
		{WAZANO_REITOUBIIMU,WAZANO_10MANBORUTO,WAZANO_GENSINOTIKARA,WAZANO_DAIBAKUHATU,},
		0x0c,19,0,
	},
	{
		MONSNO_REZISUTIRU,
		25,0xb4,
		{WAZANO_NOROI,WAZANO_DOWASURE,WAZANO_ONGAESI,WAZANO_NEMURU,},
		0x25,9,0,
	},
	{
		MONSNO_RATHIASU,
		47,0x92,
		{WAZANO_MISUTOBOORU,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_REITOUBIIMU,},
		0x18,17,0,
	},
	{
		MONSNO_RATHIOSU,
		47,0x91,
		{WAZANO_RASUTAAPAAZI,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_NAMINORI,},
		0x18,17,0,
	},
	{
		MONSNO_MIROKAROSU,
		32,0xb2,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_MEROMERO,},
		0x18,2,0,
	},
	{
		MONSNO_KEKKINGU,
		48,0x65,
		{WAZANO_AKUBI,WAZANO_KIRISAKU,WAZANO_KAUNTAA,WAZANO_HAKAIKOUSEN,},
		0x03,6,0,
	},
	{
		MONSNO_ZYUKAIN,
		47,0xdf,
		{WAZANO_RIIHUBUREEDO,WAZANO_MIKIRI,WAZANO_DORAGONKUROO,WAZANO_KAMIKUDAKU,},
		0x18,0,0,
	},
	{
		MONSNO_BASYAAMO,
		48,0xd7,
		{WAZANO_BUREIZUKIKKU,WAZANO_SUKAIAPPAA,WAZANO_ZISIN,WAZANO_IWANADARE,},
		0x12,6,0,
	},
	{
		MONSNO_RAGURAAZI,
		60,0x5f,
		{WAZANO_NAMINORI,WAZANO_ZISIN,WAZANO_REITOUBIIMU,WAZANO_GANSEKIHUUZI,},
		0x19,22,0,
	},
	{
		MONSNO_NUKENIN,
		32,0xdb,
		{WAZANO_AYASIIHIKARI,WAZANO_SYADOOBOORU,WAZANO_DOKUDOKU,WAZANO_HAKAIKOUSEN,},
		0x0a,0,0,
	},
	{
		MONSNO_METAGUROSU,
		24,0x94,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_SYADOOBOORU,WAZANO_ZISIN,},
		0x22,0,0,
	},
	{
		MONSNO_BUUPIGGU,
		10,0x4b,
		{WAZANO_SAIKOKINESISU,WAZANO_AYASIIHIKARI,WAZANO_TORIKKU,WAZANO_RIHUREKUTAA,},
		0x11,17,0,
	},
	{
		MONSNO_RATHIASU,
		41,0x92,
		{WAZANO_MISUTOBOORU,WAZANO_ZIKOSAISEI,WAZANO_MEROMERO,WAZANO_DORAGONKUROO,},
		0x25,3,0,
	},
	{
		MONSNO_RATHIOSU,
		1,0x91,
		{WAZANO_RASUTAAPAAZI,WAZANO_10MANBORUTO,WAZANO_REITOUBIIMU,WAZANO_DORAGONKUROO,},
		0x18,0,0,
	},
	{
		MONSNO_SUTAAMII,
		41,0x1a,
		{WAZANO_NAMINORI,WAZANO_10MANBORUTO,WAZANO_SAIKOKINESISU,WAZANO_REITOUBIIMU,},
		0x18,17,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x14,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAUNTAA,WAZANO_GANSEKIHUUZI,WAZANO_KAENHOUSYA,},
		0x21,0,0,
	},
};
